tweet,location,request_type,urgency
Community in Mumbai asking for Humanitarian assistance.,Mumbai,Humanitarian,Non-Urgent
Community in Leh asking for Food & Supplies assistance.,Leh,Food & Supplies,Urgent
Urgent call for Humanitarian aid in Chandigarh.,Chandigarh,Humanitarian,Non-Urgent
Need immediate assistance in Coimbatore. Situation critical.,Coimbatore,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Coimbatore.,Coimbatore,Food & Supplies,Urgent
Urgent call for Medical aid in Ahmedabad.,Ahmedabad,Medical,Urgent
"Supplies running low in Bhubaneswar, need Humanitarian.",Bhubaneswar,Humanitarian,Non-Urgent
Community in Indore asking for Medical assistance.,Indore,Medical,Non-Urgent
Children in Lucknow require urgent Food & Supplies support.,Lucknow,Food & Supplies,Urgent
Requesting Food & Supplies support in Guwahati. Please help.,Guwahati,Food & Supplies,Non-Urgent
Requesting Medical support in Surat. Please help.,Surat,Medical,Non-Urgent
Urgent call for Humanitarian aid in Vadodara.,Vadodara,Humanitarian,Non-Urgent
Children in Bhopal require urgent Humanitarian support.,Bhopal,Humanitarian,Non-Urgent
"Family stranded in Coimbatore, require Humanitarian.",Coimbatore,Humanitarian,Non-Urgent
Need immediate assistance in Goa. Situation critical.,Goa,Medical,Non-Urgent
Need immediate assistance in Ranchi. Situation critical.,Ranchi,Food & Supplies,Urgent
"Family stranded in Patna, require Medical.",Patna,Medical,Non-Urgent
"Family stranded in Ranchi, require Medical.",Ranchi,Medical,Non-Urgent
Requesting Food & Supplies support in Mysuru. Please help.,Mysuru,Food & Supplies,Non-Urgent
"Supplies running low in Hyderabad, need Medical.",Hyderabad,Medical,Urgent
Requesting Medical support in Gurugram. Please help.,Gurugram,Medical,Non-Urgent
Urgent call for Medical aid in Shillong.,Shillong,Medical,Urgent
Medical emergency reported in Surat. Need Medical.,Surat,Medical,Urgent
Community in Jammu asking for Medical assistance.,Jammu,Medical,Non-Urgent
Medical emergency reported in Warangal. Need Medical.,Warangal,Medical,Non-Urgent
Requesting Humanitarian support in Ahmedabad. Please help.,Ahmedabad,Humanitarian,Non-Urgent
"Supplies running low in Siliguri, need Medical.",Siliguri,Medical,Urgent
Senior citizens need Food & Supplies assistance in Coimbatore.,Coimbatore,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Kanpur.,Kanpur,Humanitarian,Urgent
Requesting Humanitarian support in Mysuru. Please help.,Mysuru,Humanitarian,Urgent
Requesting Food & Supplies support in Bengaluru. Please help.,Bengaluru,Food & Supplies,Urgent
"Family stranded in Hyderabad, require Humanitarian.",Hyderabad,Humanitarian,Urgent
Looking for volunteers in Noida for Medical help.,Noida,Medical,Urgent
Senior citizens need Food & Supplies assistance in Guwahati.,Guwahati,Food & Supplies,Non-Urgent
Need immediate assistance in Nagpur. Situation critical.,Nagpur,Food & Supplies,Urgent
Requesting Medical support in Cuttack. Please help.,Cuttack,Medical,Non-Urgent
Requesting Food & Supplies support in Chandigarh. Please help.,Chandigarh,Food & Supplies,Non-Urgent
Looking for volunteers in Vadodara for Medical help.,Vadodara,Medical,Non-Urgent
Senior citizens need Medical assistance in Cuttack.,Cuttack,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Srinagar.,Srinagar,Humanitarian,Non-Urgent
"Family stranded in Surat, require Medical.",Surat,Medical,Urgent
Urgent call for Medical aid in Imphal.,Imphal,Medical,Non-Urgent
Looking for volunteers in Bengaluru for Medical help.,Bengaluru,Medical,Urgent
Need immediate assistance in Delhi. Situation critical.,Delhi,Humanitarian,Non-Urgent
Community in Vadodara asking for Medical assistance.,Vadodara,Medical,Urgent
Requesting Food & Supplies support in Goa. Please help.,Goa,Food & Supplies,Non-Urgent
"Supplies running low in Noida, need Food & Supplies.",Noida,Food & Supplies,Urgent
Medical emergency reported in Siliguri. Need Humanitarian.,Siliguri,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Thiruvananthapuram.,Thiruvananthapuram,Food & Supplies,Urgent
Requesting Medical support in Surat. Please help.,Surat,Medical,Urgent
Requesting Medical support in Kolkata. Please help.,Kolkata,Medical,Urgent
Community in Kanpur asking for Humanitarian assistance.,Kanpur,Humanitarian,Non-Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Humanitarian,Non-Urgent
Requesting Humanitarian support in Nagpur. Please help.,Nagpur,Humanitarian,Non-Urgent
"Supplies running low in Coimbatore, need Medical.",Coimbatore,Medical,Urgent
Children in Agartala require urgent Food & Supplies support.,Agartala,Food & Supplies,Non-Urgent
"Family stranded in Bengaluru, require Humanitarian.",Bengaluru,Humanitarian,Urgent
Requesting Food & Supplies support in Aizawl. Please help.,Aizawl,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Bengaluru.,Bengaluru,Humanitarian,Non-Urgent
Urgent call for Medical aid in Bhubaneswar.,Bhubaneswar,Medical,Non-Urgent
"Family stranded in Jammu, require Medical.",Jammu,Medical,Urgent
Community in Lucknow asking for Medical assistance.,Lucknow,Medical,Urgent
Children in Shillong require urgent Food & Supplies support.,Shillong,Food & Supplies,Urgent
Requesting Food & Supplies support in Leh. Please help.,Leh,Food & Supplies,Non-Urgent
Looking for volunteers in Guwahati for Medical help.,Guwahati,Medical,Non-Urgent
Community in Aizawl asking for Food & Supplies assistance.,Aizawl,Food & Supplies,Urgent
Children in Coimbatore require urgent Humanitarian support.,Coimbatore,Humanitarian,Non-Urgent
Community in Patna asking for Medical assistance.,Patna,Medical,Non-Urgent
Requesting Humanitarian support in Pune. Please help.,Pune,Humanitarian,Urgent
Need immediate assistance in Cuttack. Situation critical.,Cuttack,Medical,Urgent
"Family stranded in Imphal, require Medical.",Imphal,Medical,Non-Urgent
Looking for volunteers in Itanagar for Humanitarian help.,Itanagar,Humanitarian,Non-Urgent
Medical emergency reported in Patna. Need Medical.,Patna,Medical,Non-Urgent
Looking for volunteers in Chennai for Humanitarian help.,Chennai,Humanitarian,Urgent
"Supplies running low in Imphal, need Food & Supplies.",Imphal,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Thiruvananthapuram.,Thiruvananthapuram,Medical,Urgent
"Family stranded in Chennai, require Medical.",Chennai,Medical,Non-Urgent
Medical emergency reported in Imphal. Need Medical.,Imphal,Medical,Non-Urgent
"Supplies running low in Ahmedabad, need Food & Supplies.",Ahmedabad,Food & Supplies,Non-Urgent
"Supplies running low in Jaipur, need Medical.",Jaipur,Medical,Non-Urgent
Requesting Medical support in Leh. Please help.,Leh,Medical,Urgent
Urgent call for Humanitarian aid in Cuttack.,Cuttack,Humanitarian,Urgent
"Supplies running low in Shillong, need Medical.",Shillong,Medical,Urgent
"Supplies running low in Delhi, need Food & Supplies.",Delhi,Food & Supplies,Non-Urgent
"Family stranded in Gurugram, require Medical.",Gurugram,Medical,Non-Urgent
"Family stranded in Pune, require Humanitarian.",Pune,Humanitarian,Non-Urgent
Children in Agartala require urgent Food & Supplies support.,Agartala,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Chandigarh. Please help.,Chandigarh,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Leh.,Leh,Food & Supplies,Urgent
Children in Ranchi require urgent Food & Supplies support.,Ranchi,Food & Supplies,Non-Urgent
"Family stranded in Bengaluru, require Humanitarian.",Bengaluru,Humanitarian,Urgent
Senior citizens need Medical assistance in Udaipur.,Udaipur,Medical,Non-Urgent
Requesting Medical support in Kanpur. Please help.,Kanpur,Medical,Urgent
Medical emergency reported in Indore. Need Humanitarian.,Indore,Humanitarian,Urgent
"Supplies running low in Nagpur, need Humanitarian.",Nagpur,Humanitarian,Non-Urgent
Need immediate assistance in Agartala. Situation critical.,Agartala,Food & Supplies,Non-Urgent
Looking for volunteers in Bhubaneswar for Humanitarian help.,Bhubaneswar,Humanitarian,Non-Urgent
"Supplies running low in Lucknow, need Food & Supplies.",Lucknow,Food & Supplies,Urgent
Medical emergency reported in Jammu. Need Humanitarian.,Jammu,Humanitarian,Non-Urgent
Need immediate assistance in Guwahati. Situation critical.,Guwahati,Food & Supplies,Urgent
Urgent call for Humanitarian aid in Ahmedabad.,Ahmedabad,Humanitarian,Non-Urgent
"Supplies running low in Chennai, need Humanitarian.",Chennai,Humanitarian,Urgent
Urgent call for Medical aid in Agartala.,Agartala,Medical,Urgent
Looking for volunteers in Cuttack for Food & Supplies help.,Cuttack,Food & Supplies,Non-Urgent
Medical emergency reported in Pune. Need Food & Supplies.,Pune,Food & Supplies,Non-Urgent
Looking for volunteers in Jammu for Food & Supplies help.,Jammu,Food & Supplies,Urgent
Urgent call for Humanitarian aid in Kochi.,Kochi,Humanitarian,Non-Urgent
Community in Kochi asking for Humanitarian assistance.,Kochi,Humanitarian,Urgent
Children in Kanpur require urgent Medical support.,Kanpur,Medical,Urgent
Need immediate assistance in Patna. Situation critical.,Patna,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Shillong.,Shillong,Humanitarian,Non-Urgent
"Family stranded in Jaipur, require Humanitarian.",Jaipur,Humanitarian,Urgent
Children in Bengaluru require urgent Food & Supplies support.,Bengaluru,Food & Supplies,Non-Urgent
Children in Patna require urgent Humanitarian support.,Patna,Humanitarian,Non-Urgent
"Family stranded in Chandigarh, require Food & Supplies.",Chandigarh,Food & Supplies,Non-Urgent
Need immediate assistance in Leh. Situation critical.,Leh,Food & Supplies,Urgent
Urgent call for Medical aid in Ahmedabad.,Ahmedabad,Medical,Urgent
Looking for volunteers in Aizawl for Food & Supplies help.,Aizawl,Food & Supplies,Non-Urgent
Looking for volunteers in Srinagar for Food & Supplies help.,Srinagar,Food & Supplies,Urgent
Medical emergency reported in Goa. Need Food & Supplies.,Goa,Food & Supplies,Urgent
Children in Vadodara require urgent Medical support.,Vadodara,Medical,Non-Urgent
"Supplies running low in Delhi, need Humanitarian.",Delhi,Humanitarian,Urgent
Looking for volunteers in Delhi for Humanitarian help.,Delhi,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Kanpur.,Kanpur,Humanitarian,Urgent
Need immediate assistance in Patna. Situation critical.,Patna,Medical,Urgent
Medical emergency reported in Bhopal. Need Medical.,Bhopal,Medical,Urgent
Children in Bhopal require urgent Medical support.,Bhopal,Medical,Urgent
Children in Cuttack require urgent Humanitarian support.,Cuttack,Humanitarian,Urgent
"Family stranded in Coimbatore, require Medical.",Coimbatore,Medical,Non-Urgent
Children in Warangal require urgent Food & Supplies support.,Warangal,Food & Supplies,Non-Urgent
Need immediate assistance in Pune. Situation critical.,Pune,Medical,Non-Urgent
Community in Agartala asking for Food & Supplies assistance.,Agartala,Food & Supplies,Non-Urgent
Children in Chandigarh require urgent Medical support.,Chandigarh,Medical,Non-Urgent
Requesting Food & Supplies support in Surat. Please help.,Surat,Food & Supplies,Urgent
Children in Itanagar require urgent Humanitarian support.,Itanagar,Humanitarian,Urgent
Need immediate assistance in Jammu. Situation critical.,Jammu,Food & Supplies,Urgent
Community in Bengaluru asking for Humanitarian assistance.,Bengaluru,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Warangal.,Warangal,Food & Supplies,Non-Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Humanitarian,Non-Urgent
Children in Bhopal require urgent Humanitarian support.,Bhopal,Humanitarian,Urgent
Medical emergency reported in Imphal. Need Medical.,Imphal,Medical,Non-Urgent
Looking for volunteers in Bengaluru for Food & Supplies help.,Bengaluru,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Indore.,Indore,Humanitarian,Urgent
Community in Agartala asking for Humanitarian assistance.,Agartala,Humanitarian,Non-Urgent
Medical emergency reported in Kochi. Need Humanitarian.,Kochi,Humanitarian,Non-Urgent
Requesting Medical support in Bengaluru. Please help.,Bengaluru,Medical,Urgent
Children in Ranchi require urgent Medical support.,Ranchi,Medical,Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Medical,Non-Urgent
Need immediate assistance in Thiruvananthapuram. Situation critical.,Thiruvananthapuram,Medical,Non-Urgent
Children in Shillong require urgent Medical support.,Shillong,Medical,Urgent
Children in Bengaluru require urgent Humanitarian support.,Bengaluru,Humanitarian,Non-Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Food & Supplies,Urgent
"Family stranded in Bhopal, require Humanitarian.",Bhopal,Humanitarian,Urgent
Children in Bhopal require urgent Humanitarian support.,Bhopal,Humanitarian,Non-Urgent
Children in Kanpur require urgent Food & Supplies support.,Kanpur,Food & Supplies,Non-Urgent
Looking for volunteers in Jammu for Food & Supplies help.,Jammu,Food & Supplies,Urgent
Children in Surat require urgent Food & Supplies support.,Surat,Food & Supplies,Non-Urgent
"Supplies running low in Agartala, need Medical.",Agartala,Medical,Non-Urgent
Medical emergency reported in Warangal. Need Food & Supplies.,Warangal,Food & Supplies,Urgent
"Family stranded in Cuttack, require Humanitarian.",Cuttack,Humanitarian,Urgent
Looking for volunteers in Lucknow for Medical help.,Lucknow,Medical,Urgent
Requesting Medical support in Itanagar. Please help.,Itanagar,Medical,Non-Urgent
Looking for volunteers in Mysuru for Medical help.,Mysuru,Medical,Non-Urgent
Need immediate assistance in Delhi. Situation critical.,Delhi,Food & Supplies,Non-Urgent
Medical emergency reported in Cuttack. Need Humanitarian.,Cuttack,Humanitarian,Urgent
"Supplies running low in Thiruvananthapuram, need Humanitarian.",Thiruvananthapuram,Humanitarian,Urgent
"Supplies running low in Aizawl, need Humanitarian.",Aizawl,Humanitarian,Urgent
"Supplies running low in Thiruvananthapuram, need Food & Supplies.",Thiruvananthapuram,Food & Supplies,Urgent
Looking for volunteers in Coimbatore for Humanitarian help.,Coimbatore,Humanitarian,Non-Urgent
Looking for volunteers in Delhi for Humanitarian help.,Delhi,Humanitarian,Urgent
Need immediate assistance in Shillong. Situation critical.,Shillong,Food & Supplies,Non-Urgent
Need immediate assistance in Aizawl. Situation critical.,Aizawl,Food & Supplies,Urgent
Children in Chennai require urgent Food & Supplies support.,Chennai,Food & Supplies,Urgent
"Supplies running low in Kolkata, need Medical.",Kolkata,Medical,Urgent
Need immediate assistance in Bhopal. Situation critical.,Bhopal,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Thiruvananthapuram. Please help.,Thiruvananthapuram,Food & Supplies,Urgent
Requesting Humanitarian support in Warangal. Please help.,Warangal,Humanitarian,Non-Urgent
Looking for volunteers in Surat for Food & Supplies help.,Surat,Food & Supplies,Urgent
Looking for volunteers in Ranchi for Medical help.,Ranchi,Medical,Urgent
Requesting Humanitarian support in Hyderabad. Please help.,Hyderabad,Humanitarian,Urgent
Community in Jaipur asking for Food & Supplies assistance.,Jaipur,Food & Supplies,Urgent
Children in Chennai require urgent Food & Supplies support.,Chennai,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Agartala.,Agartala,Food & Supplies,Non-Urgent
Children in Chandigarh require urgent Medical support.,Chandigarh,Medical,Urgent
Urgent call for Medical aid in Guwahati.,Guwahati,Medical,Non-Urgent
Community in Surat asking for Medical assistance.,Surat,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Chennai.,Chennai,Food & Supplies,Urgent
"Supplies running low in Bhubaneswar, need Humanitarian.",Bhubaneswar,Humanitarian,Non-Urgent
Children in Siliguri require urgent Humanitarian support.,Siliguri,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Ranchi. Please help.,Ranchi,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Aizawl.,Aizawl,Humanitarian,Non-Urgent
Looking for volunteers in Aizawl for Medical help.,Aizawl,Medical,Urgent
Requesting Humanitarian support in Mysuru. Please help.,Mysuru,Humanitarian,Non-Urgent
Children in Thiruvananthapuram require urgent Food & Supplies support.,Thiruvananthapuram,Food & Supplies,Non-Urgent
Community in Gurugram asking for Humanitarian assistance.,Gurugram,Humanitarian,Urgent
"Family stranded in Goa, require Humanitarian.",Goa,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Kolkata.,Kolkata,Food & Supplies,Non-Urgent
Looking for volunteers in Ranchi for Humanitarian help.,Ranchi,Humanitarian,Urgent
Medical emergency reported in Imphal. Need Food & Supplies.,Imphal,Food & Supplies,Non-Urgent
Medical emergency reported in Patna. Need Food & Supplies.,Patna,Food & Supplies,Non-Urgent
Medical emergency reported in Nagpur. Need Humanitarian.,Nagpur,Humanitarian,Urgent
"Family stranded in Ahmedabad, require Medical.",Ahmedabad,Medical,Urgent
"Family stranded in Mumbai, require Humanitarian.",Mumbai,Humanitarian,Urgent
Senior citizens need Medical assistance in Srinagar.,Srinagar,Medical,Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Food & Supplies,Non-Urgent
Community in Leh asking for Medical assistance.,Leh,Medical,Non-Urgent
Urgent call for Humanitarian aid in Vadodara.,Vadodara,Humanitarian,Non-Urgent
Community in Udaipur asking for Humanitarian assistance.,Udaipur,Humanitarian,Urgent
"Family stranded in Patna, require Medical.",Patna,Medical,Urgent
Need immediate assistance in Lucknow. Situation critical.,Lucknow,Medical,Non-Urgent
"Supplies running low in Itanagar, need Medical.",Itanagar,Medical,Urgent
"Supplies running low in Chennai, need Medical.",Chennai,Medical,Urgent
Need immediate assistance in Bhopal. Situation critical.,Bhopal,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Hyderabad.,Hyderabad,Humanitarian,Urgent
"Supplies running low in Bhopal, need Food & Supplies.",Bhopal,Food & Supplies,Urgent
Children in Kochi require urgent Food & Supplies support.,Kochi,Food & Supplies,Non-Urgent
"Family stranded in Jammu, require Food & Supplies.",Jammu,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Jammu.,Jammu,Medical,Non-Urgent
Urgent call for Humanitarian aid in Ahmedabad.,Ahmedabad,Humanitarian,Urgent
Looking for volunteers in Chandigarh for Medical help.,Chandigarh,Medical,Non-Urgent
Looking for volunteers in Indore for Humanitarian help.,Indore,Humanitarian,Non-Urgent
"Family stranded in Leh, require Food & Supplies.",Leh,Food & Supplies,Non-Urgent
Looking for volunteers in Hyderabad for Food & Supplies help.,Hyderabad,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Gurugram.,Gurugram,Food & Supplies,Urgent
Children in Lucknow require urgent Medical support.,Lucknow,Medical,Urgent
"Supplies running low in Udaipur, need Food & Supplies.",Udaipur,Food & Supplies,Non-Urgent
Looking for volunteers in Ahmedabad for Medical help.,Ahmedabad,Medical,Urgent
Looking for volunteers in Chennai for Humanitarian help.,Chennai,Humanitarian,Non-Urgent
Requesting Medical support in Delhi. Please help.,Delhi,Medical,Urgent
Urgent call for Humanitarian aid in Udaipur.,Udaipur,Humanitarian,Urgent
Community in Nagpur asking for Food & Supplies assistance.,Nagpur,Food & Supplies,Non-Urgent
Community in Noida asking for Humanitarian assistance.,Noida,Humanitarian,Urgent
Children in Gurugram require urgent Food & Supplies support.,Gurugram,Food & Supplies,Non-Urgent
"Family stranded in Pune, require Medical.",Pune,Medical,Urgent
Requesting Medical support in Warangal. Please help.,Warangal,Medical,Urgent
Need immediate assistance in Agartala. Situation critical.,Agartala,Food & Supplies,Non-Urgent
"Supplies running low in Indore, need Medical.",Indore,Medical,Non-Urgent
Looking for volunteers in Ahmedabad for Humanitarian help.,Ahmedabad,Humanitarian,Urgent
"Supplies running low in Leh, need Humanitarian.",Leh,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Goa.,Goa,Food & Supplies,Urgent
"Family stranded in Nagpur, require Medical.",Nagpur,Medical,Non-Urgent
Senior citizens need Medical assistance in Guwahati.,Guwahati,Medical,Urgent
Need immediate assistance in Imphal. Situation critical.,Imphal,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Surat.,Surat,Humanitarian,Urgent
Senior citizens need Humanitarian assistance in Gurugram.,Gurugram,Humanitarian,Non-Urgent
"Family stranded in Noida, require Medical.",Noida,Medical,Urgent
"Family stranded in Indore, require Food & Supplies.",Indore,Food & Supplies,Urgent
Community in Shillong asking for Humanitarian assistance.,Shillong,Humanitarian,Non-Urgent
Need immediate assistance in Jammu. Situation critical.,Jammu,Medical,Non-Urgent
Children in Warangal require urgent Humanitarian support.,Warangal,Humanitarian,Non-Urgent
Need immediate assistance in Leh. Situation critical.,Leh,Medical,Non-Urgent
"Supplies running low in Imphal, need Humanitarian.",Imphal,Humanitarian,Urgent
"Family stranded in Patna, require Humanitarian.",Patna,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Gurugram.,Gurugram,Food & Supplies,Non-Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Medical,Urgent
Need immediate assistance in Leh. Situation critical.,Leh,Medical,Urgent
"Supplies running low in Pune, need Humanitarian.",Pune,Humanitarian,Urgent
"Family stranded in Lucknow, require Medical.",Lucknow,Medical,Urgent
Requesting Food & Supplies support in Patna. Please help.,Patna,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Shillong.,Shillong,Medical,Urgent
Community in Srinagar asking for Humanitarian assistance.,Srinagar,Humanitarian,Urgent
Community in Bhubaneswar asking for Medical assistance.,Bhubaneswar,Medical,Non-Urgent
Medical emergency reported in Mysuru. Need Food & Supplies.,Mysuru,Food & Supplies,Urgent
Looking for volunteers in Bhubaneswar for Humanitarian help.,Bhubaneswar,Humanitarian,Non-Urgent
Looking for volunteers in Mumbai for Medical help.,Mumbai,Medical,Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Medical,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Food & Supplies,Non-Urgent
Looking for volunteers in Patna for Food & Supplies help.,Patna,Food & Supplies,Urgent
Community in Imphal asking for Medical assistance.,Imphal,Medical,Urgent
Community in Warangal asking for Medical assistance.,Warangal,Medical,Urgent
Medical emergency reported in Surat. Need Food & Supplies.,Surat,Food & Supplies,Non-Urgent
Children in Leh require urgent Humanitarian support.,Leh,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Bhubaneswar.,Bhubaneswar,Medical,Non-Urgent
Community in Surat asking for Humanitarian assistance.,Surat,Humanitarian,Non-Urgent
Children in Jaipur require urgent Medical support.,Jaipur,Medical,Non-Urgent
"Family stranded in Kanpur, require Food & Supplies.",Kanpur,Food & Supplies,Urgent
Requesting Humanitarian support in Gurugram. Please help.,Gurugram,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Guwahati.,Guwahati,Medical,Urgent
Community in Goa asking for Medical assistance.,Goa,Medical,Non-Urgent
"Supplies running low in Bhopal, need Food & Supplies.",Bhopal,Food & Supplies,Urgent
"Supplies running low in Lucknow, need Food & Supplies.",Lucknow,Food & Supplies,Non-Urgent
Children in Delhi require urgent Medical support.,Delhi,Medical,Urgent
Community in Shillong asking for Food & Supplies assistance.,Shillong,Food & Supplies,Urgent
"Supplies running low in Goa, need Medical.",Goa,Medical,Urgent
Children in Bhubaneswar require urgent Humanitarian support.,Bhubaneswar,Humanitarian,Urgent
Medical emergency reported in Udaipur. Need Food & Supplies.,Udaipur,Food & Supplies,Urgent
Children in Imphal require urgent Humanitarian support.,Imphal,Humanitarian,Non-Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Medical,Non-Urgent
Need immediate assistance in Ranchi. Situation critical.,Ranchi,Humanitarian,Urgent
Community in Shillong asking for Humanitarian assistance.,Shillong,Humanitarian,Urgent
"Family stranded in Ranchi, require Food & Supplies.",Ranchi,Food & Supplies,Urgent
Requesting Medical support in Siliguri. Please help.,Siliguri,Medical,Non-Urgent
Children in Mysuru require urgent Food & Supplies support.,Mysuru,Food & Supplies,Urgent
Looking for volunteers in Patna for Food & Supplies help.,Patna,Food & Supplies,Non-Urgent
Children in Kochi require urgent Food & Supplies support.,Kochi,Food & Supplies,Urgent
"Supplies running low in Thiruvananthapuram, need Food & Supplies.",Thiruvananthapuram,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Kanpur.,Kanpur,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Mysuru.,Mysuru,Medical,Urgent
Community in Ranchi asking for Medical assistance.,Ranchi,Medical,Urgent
Requesting Medical support in Siliguri. Please help.,Siliguri,Medical,Non-Urgent
"Supplies running low in Noida, need Medical.",Noida,Medical,Non-Urgent
Children in Guwahati require urgent Food & Supplies support.,Guwahati,Food & Supplies,Non-Urgent
"Supplies running low in Ranchi, need Food & Supplies.",Ranchi,Food & Supplies,Non-Urgent
"Supplies running low in Coimbatore, need Food & Supplies.",Coimbatore,Food & Supplies,Urgent
Requesting Humanitarian support in Hyderabad. Please help.,Hyderabad,Humanitarian,Urgent
Community in Leh asking for Medical assistance.,Leh,Medical,Non-Urgent
"Family stranded in Goa, require Humanitarian.",Goa,Humanitarian,Non-Urgent
Community in Srinagar asking for Medical assistance.,Srinagar,Medical,Non-Urgent
Requesting Food & Supplies support in Ranchi. Please help.,Ranchi,Food & Supplies,Urgent
Community in Pune asking for Humanitarian assistance.,Pune,Humanitarian,Non-Urgent
Children in Hyderabad require urgent Humanitarian support.,Hyderabad,Humanitarian,Non-Urgent
Children in Leh require urgent Medical support.,Leh,Medical,Urgent
Looking for volunteers in Kolkata for Food & Supplies help.,Kolkata,Food & Supplies,Non-Urgent
Need immediate assistance in Shillong. Situation critical.,Shillong,Food & Supplies,Urgent
"Family stranded in Chandigarh, require Food & Supplies.",Chandigarh,Food & Supplies,Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Nagpur.,Nagpur,Food & Supplies,Non-Urgent
Children in Kanpur require urgent Food & Supplies support.,Kanpur,Food & Supplies,Non-Urgent
Medical emergency reported in Kolkata. Need Medical.,Kolkata,Medical,Urgent
Community in Nagpur asking for Medical assistance.,Nagpur,Medical,Non-Urgent
Looking for volunteers in Gurugram for Humanitarian help.,Gurugram,Humanitarian,Non-Urgent
Medical emergency reported in Agartala. Need Food & Supplies.,Agartala,Food & Supplies,Non-Urgent
"Supplies running low in Lucknow, need Food & Supplies.",Lucknow,Food & Supplies,Non-Urgent
Children in Chennai require urgent Medical support.,Chennai,Medical,Non-Urgent
Children in Agartala require urgent Food & Supplies support.,Agartala,Food & Supplies,Non-Urgent
"Family stranded in Nagpur, require Humanitarian.",Nagpur,Humanitarian,Urgent
"Family stranded in Pune, require Humanitarian.",Pune,Humanitarian,Urgent
Community in Nagpur asking for Food & Supplies assistance.,Nagpur,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Lucknow.,Lucknow,Food & Supplies,Urgent
Urgent call for Humanitarian aid in Kanpur.,Kanpur,Humanitarian,Urgent
Community in Shillong asking for Food & Supplies assistance.,Shillong,Food & Supplies,Urgent
Urgent call for Food & Supplies aid in Itanagar.,Itanagar,Food & Supplies,Urgent
Need immediate assistance in Kanpur. Situation critical.,Kanpur,Medical,Urgent
Requesting Food & Supplies support in Aizawl. Please help.,Aizawl,Food & Supplies,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Medical,Non-Urgent
Looking for volunteers in Guwahati for Medical help.,Guwahati,Medical,Non-Urgent
Medical emergency reported in Thiruvananthapuram. Need Humanitarian.,Thiruvananthapuram,Humanitarian,Non-Urgent
Urgent call for Medical aid in Kochi.,Kochi,Medical,Urgent
Need immediate assistance in Delhi. Situation critical.,Delhi,Humanitarian,Non-Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Food & Supplies,Urgent
Need immediate assistance in Thiruvananthapuram. Situation critical.,Thiruvananthapuram,Medical,Non-Urgent
Medical emergency reported in Kolkata. Need Humanitarian.,Kolkata,Humanitarian,Urgent
Community in Itanagar asking for Food & Supplies assistance.,Itanagar,Food & Supplies,Urgent
Community in Chennai asking for Food & Supplies assistance.,Chennai,Food & Supplies,Non-Urgent
Community in Goa asking for Food & Supplies assistance.,Goa,Food & Supplies,Urgent
